"Mon Feb 14 01:58:27 -0500 2011",34.8332,-89.1764
"Mon Feb 14 01:58:48 -0500 2011",-0.812987,103.464
"Mon Feb 14 01:59:49 -0500 2011",36.6297,-6.36605
"Mon Feb 14 02:01:18 -0500 2011",49.2779,-123.092
"Mon Feb 14 02:02:16 -0500 2011",41.6212,-72.6624
"Mon Feb 14 02:02:20 -0500 2011",41.2586,-95.8909
"Mon Feb 14 02:02:51 -0500 2011",-6.60223,106.779
"Mon Feb 14 02:03:18 -0500 2011",18.4162,-66.4876
"Mon Feb 14 02:03:32 -0500 2011",32.5693,-97.33
"Mon Feb 14 02:03:41 -0500 2011",28.6755,-81.4595
"Mon Feb 14 02:03:51 -0500 2011",47.3185,-122.211
"Mon Feb 14 02:03:59 -0500 2011",13.7042,-89.1684
"Mon Feb 14 02:04:09 -0500 2011",42.8847,-85.5539
"Mon Feb 14 02:04:31 -0500 2011",43.648,-79.3951
"Mon Feb 14 02:05:24 -0500 2011",38.6453,-121.515
"Mon Feb 14 02:05:45 -0500 2011",40.821,-74.2568
"Mon Feb 14 02:07:56 -0500 2011",35.9687,-95.3723
"Mon Feb 14 02:10:56 -0500 2011",-22.8949,-43.4207
"Mon Feb 14 02:11:28 -0500 2011",41.1,-75.0435
"Mon Feb 14 02:12:09 -0500 2011",38.5459,-121.766
"Mon Feb 14 02:14:02 -0500 2011",-22.8949,-43.4207
"Mon Feb 14 02:18:01 -0500 2011",-9.656,-35.7012
"Mon Feb 14 02:19:12 -0500 2011",42.4285,-88.1961
"Mon Feb 14 02:19:33 -0500 2011",41.831,-88.0835
"Mon Feb 14 02:19:43 -0500 2011",41.6669,-73.904
"Mon Feb 14 02:20:57 -0500 2011",-9.66625,-35.7351
"Mon Feb 14 02:21:27 -0500 2011",-8.78462,115.17
"Mon Feb 14 02:22:07 -0500 2011",-3.71839,-38.5434
"Mon Feb 14 02:22:10 -0500 2011",-26.9448,-48.7112
"Mon Feb 14 02:22:11 -0500 2011",33.5787,-117.729
"Mon Feb 14 02:22:13 -0500 2011",34.0073,-96.3768
"Mon Feb 14 02:22:18 -0500 2011",38.5874,-90.0365
"Mon Feb 14 02:22:22 -0500 2011",31.7682,-106.265
"Mon Feb 14 02:22:41 -0500 2011",17.7449,-64.7053
"Mon Feb 14 02:22:45 -0500 2011",45.5128,-73.8971
"Mon Feb 14 02:22:46 -0500 2011",-23.1791,-45.8872
"Mon Feb 14 02:22:47 -0500 2011",28.2071,-82.4052
"Mon Feb 14 02:22:51 -0500 2011",38.8667,-76.8753
"Mon Feb 14 02:22:51 -0500 2011",-6.34176,106.637
"Mon Feb 14 02:22:51 -0500 2011",-6.34176,106.637
"Mon Feb 14 02:22:50 -0500 2011",39.9387,-82.8333
"Mon Feb 14 02:23:01 -0500 2011",39.1397,-84.6573
"Mon Feb 14 02:22:53 -0500 2011",10.4741,-66.6078
"Mon Feb 14 02:23:03 -0500 2011",43.0423,-87.9397
"Mon Feb 14 02:23:09 -0500 2011",37.3393,-77.409
"Mon Feb 14 02:23:12 -0500 2011",-25.4021,-49.2596
"Mon Feb 14 02:23:23 -0500 2011",-23.5343,-46.68
"Mon Feb 14 02:23:26 -0500 2011",38.807,-76.9773
"Mon Feb 14 02:23:28 -0500 2011",38.9282,-77.0306
"Mon Feb 14 02:23:36 -0500 2011",26.7328,-80.0869
"Mon Feb 14 02:23:39 -0500 2011",41.4155,-72.8993
"Mon Feb 14 02:23:42 -0500 2011",41.0747,-80.5937
"Mon Feb 14 02:23:44 -0500 2011",43.5186,-80.2455
"Mon Feb 14 02:23:47 -0500 2011",40.7853,-73.9796
"Mon Feb 14 02:23:59 -0500 2011",41.7719,-71.4488
"Mon Feb 14 02:23:59 -0500 2011",42.4781,-92.3246
"Mon Feb 14 02:24:00 -0500 2011",18.0483,-76.7616
"Mon Feb 14 02:24:00 -0500 2011",-15.8147,-48.0694
"Mon Feb 14 02:24:03 -0500 2011",29.9721,-90.067
"Mon Feb 14 02:24:07 -0500 2011",42.5684,-70.9429
"Mon Feb 14 02:24:08 -0500 2011",-23.2839,-46.7415
"Mon Feb 14 02:24:10 -0500 2011",39.9109,-75.3843
"Mon Feb 14 02:24:18 -0500 2011",39.2383,-95.4667
"Mon Feb 14 02:24:28 -0500 2011",35.9619,-86.5364
"Mon Feb 14 02:24:40 -0500 2011",9.71954,-63.2046
"Mon Feb 14 02:24:41 -0500 2011",19.3412,-99.1983
"Mon Feb 14 02:24:47 -0500 2011",39.6265,-104.774
"Mon Feb 14 02:24:49 -0500 2011",42.7162,-71.1594
"Mon Feb 14 02:24:58 -0500 2011",40.7562,-73.9048
"Mon Feb 14 02:25:06 -0500 2011",38.8686,-76.8227
"Mon Feb 14 02:25:11 -0500 2011",40.7149,-73.9504
"Mon Feb 14 02:25:12 -0500 2011",39.93,-75.1815
"Mon Feb 14 02:25:18 -0500 2011",41.6669,-73.904
"Mon Feb 14 02:25:22 -0500 2011",42.285,-85.6661
"Mon Feb 14 02:25:28 -0500 2011",40.7436,-73.9999
"Mon Feb 14 02:25:30 -0500 2011",40.0535,-75.366
"Mon Feb 14 02:25:46 -0500 2011",36.6297,-6.36605
"Mon Feb 14 02:25:47 -0500 2011",39.9498,-75.1938
"Mon Feb 14 02:25:54 -0500 2011",59.2932,17.7922
